class,feature,coefficient,direction,rank
love,nostalgic,7.072211738239317,positive,1
love,sympathetic,7.047906798403794,positive,2
love,loving,6.8790556486729715,positive,3
love,caring,6.715808174830644,positive,4
love,naughty,6.671940391334666,positive,5
love,hot,6.6183444204184445,positive,6
love,tender,6.57722773902227,positive,7
love,horny,6.548052849309578,positive,8
love,lovely,6.456759180924462,positive,9
love,liked,6.44787539578797,positive,10
love,delicate,6.394249225862556,positive,11
love,romantic,6.373678875634364,positive,12
love,supportive,6.340122379592839,positive,13
love,longing,6.256199712619401,positive,14
love,sweet,6.237990074807312,positive,15
love,strange,-2.3702165418625523,negative,1
love,weird,-2.058195532507951,negative,2
love,overwhelmed,-2.0305605430610902,negative,3
love,impressed,-1.7386176791908856,negative,4
love,amazing,-1.7023107930117218,negative,5
love,funny,-1.6663202042763872,negative,6
love,curious,-1.5959484670890642,negative,7
love,surprised,-1.5234495145225628,negative,8
love,tortured,-1.5100915371285792,negative,9
love,shocked,-1.4745664023648026,negative,10
love,agitated,-1.3770360441001668,negative,11
love,amazed,-1.369840963968736,negative,12
love,hated,-1.2727364978583764,negative,13
love,stressed,-1.26499286649824,negative,14
love,nervous,-1.109190457125719,negative,15
