class,feature,coefficient,direction,rank
fear,shaken,6.564280332186484,positive,1
fear,terrified,6.16707162712123,positive,2
fear,vulnerable,6.150014984647198,positive,3
fear,paranoid,5.717626246674051,positive,4
fear,scared,5.410153971651664,positive,5
fear,shaky,5.390356083280594,positive,6
fear,pressured,5.344909361515778,positive,7
fear,uncertain,5.275666702467284,positive,8
fear,reluctant,5.275180622768013,positive,9
fear,apprehensive,5.263606151510112,positive,10
fear,nervous,5.224125716702675,positive,11
fear,unsure,5.176717960981468,positive,12
fear,shy,5.150083878881245,positive,13
fear,frantic,5.10648177109254,positive,14
fear,intimidated,5.023222878241077,positive,15
fear,dazed,-1.9519907478913354,negative,1
fear,curious,-1.858106403907637,negative,2
fear,amazed,-1.8465052253216128,negative,3
fear,funny,-1.842260901352172,negative,4
fear,surprised,-1.7700124283492156,negative,5
fear,shocked,-1.7680752834428328,negative,6
fear,impressed,-1.7568497664492067,negative,7
fear,sweet,-1.7550563929741305,negative,8
fear,amazing,-1.6381888573244048,negative,9
fear,for,-1.585512289710014,negative,10
fear,supporting,-1.5297861155647745,negative,11
fear,feel that,-1.50917486038641,negative,12
fear,nostalgic,-1.5001178056677333,negative,13
fear,feel,-1.4450216525316302,negative,14
fear,generous,-1.4066552631798313,negative,15
