class,feature,coefficient,direction,rank
surprise,impressed,10.619939149753463,positive,1
surprise,amazed,10.576764397417124,positive,2
surprise,curious,10.141070551387728,positive,3
surprise,surprised,9.807670057907071,positive,4
surprise,funny,9.393197534414854,positive,5
surprise,shocked,9.159067564171467,positive,6
surprise,dazed,8.316550756055674,positive,7
surprise,overwhelmed,7.906099512098728,positive,8
surprise,amazing,7.574480112245132,positive,9
surprise,weird,7.429933079237922,positive,10
surprise,strange,7.427972030963483,positive,11
surprise,stunned,6.659713319104173,positive,12
surprise,enthralled,3.753120825227738,positive,13
surprise,ludicrous,2.8462814934916856,positive,14
surprise,remember,1.5423015334822048,positive,15
surprise,feel,-2.2567038654008735,negative,1
surprise,blessed,-1.3388379472110692,negative,2
surprise,lately,-1.210384229253141,negative,3
surprise,before,-1.144778414980917,negative,4
surprise,supporting,-1.1295026083205524,negative,5
surprise,more,-1.1245269653376653,negative,6
surprise,sweet,-1.1023857397275452,negative,7
surprise,generous,-1.0765494808652467,negative,8
surprise,liked,-1.0723044536067037,negative,9
surprise,your,-0.9897660457985851,negative,10
surprise,agitated,-0.965744960697296,negative,11
surprise,accepted,-0.9539760448822688,negative,12
surprise,morning,-0.9494462451155324,negative,13
surprise,passionate,-0.9475016383816187,negative,14
surprise,been,-0.9265083112440178,negative,15
