class,feature,coefficient,direction,rank
joy,sincere,3.749379786478658,positive,1
joy,pleasant,3.7141979681972828,positive,2
joy,superior,3.6917653879844465,positive,3
joy,resolved,3.4534721457485555,positive,4
joy,innocent,3.451616295450634,positive,5
joy,clever,3.3988843290417594,positive,6
joy,smug,3.379282668947563,positive,7
joy,satisfied,3.3411876592515184,positive,8
joy,virtuous,3.3341109952624293,positive,9
joy,popular,3.2980501228373313,positive,10
joy,successful,3.2805846150405387,positive,11
joy,worthwhile,3.2599719404450633,positive,12
joy,determined,3.2246851262197214,positive,13
joy,cute,3.170009204318277,positive,14
joy,precious,3.1655064169324914,positive,15
joy,impressed,-2.3505637504389028,negative,1
joy,dangerous,-2.3089232998757803,negative,2
joy,hated,-2.3017811328094235,negative,3
joy,agitated,-2.2780080590751783,negative,4
joy,violent,-2.2180762219874857,negative,5
joy,scared,-2.20850543381915,negative,6
joy,strange,-2.200654696936918,negative,7
joy,melancholy,-2.1922605533235417,negative,8
joy,missed,-2.179016759036688,negative,9
joy,shaken,-2.1578760917671125,negative,10
joy,amazed,-2.152530260431182,negative,11
joy,caring,-2.136459204817746,negative,12
joy,unfortunate,-2.1243043288381616,negative,13
joy,troubled,-2.102383268552754,negative,14
joy,terrified,-2.0938948366045884,negative,15
