class,feature,coefficient,direction,rank
love,sympathetic,6.464760634389581,positive,1
love,nostalgic,5.884224319681134,positive,2
love,supportive,5.679217430100367,positive,3
love,tender,5.4103355197000225,positive,4
love,longing,5.3789495341302365,positive,5
love,loyal,5.3668069747223015,positive,6
love,delicate,5.296756512075253,positive,7
love,romantic,5.2323680884514845,positive,8
love,caring,5.173056372181925,positive,9
love,loving,5.128525972896405,positive,10
love,lovely,5.100052487750406,positive,11
love,naughty,5.081940800834515,positive,12
love,horny,4.993397302140536,positive,13
love,gentle,4.934895336280679,positive,14
love,liked,4.901891852182939,positive,15
love,punished,-1.89993907350601,negative,1
love,distressed,-1.6157391798839165,negative,2
love,letter,-1.5253817144769963,negative,3
love,rich,-1.3138782091411583,negative,4
love,to start,-1.3087413421665817,negative,5
love,and loved,-1.2824647444623911,negative,6
love,helping,-1.2817896319879143,negative,7
love,damaged,-1.2773938403041818,negative,8
love,talented,-1.26400122910733,negative,9
love,pleasant,-1.2574867906359153,negative,10
love,precious,-1.242157941543411,negative,11
love,innocent,-1.2402134626238273,negative,12
love,cold,-1.239410204896176,negative,13
love,rushed,-1.231365143240695,negative,14
love,picture,-1.1866740827372528,negative,15
