class,feature,coefficient,direction,rank
joy,sincere,3.787348315028428,positive,1
joy,superior,3.6924741912338814,positive,2
joy,pleasant,3.6830436722942257,positive,3
joy,innocent,3.484063344891339,positive,4
joy,successful,3.4531578305169686,positive,5
joy,resolved,3.447380102779724,positive,6
joy,smug,3.441172921962888,positive,7
joy,satisfied,3.401113790608698,positive,8
joy,virtuous,3.3909925765752362,positive,9
joy,clever,3.375965867832956,positive,10
joy,popular,3.361829625857084,positive,11
joy,worthwhile,3.287479183728808,positive,12
joy,productive,3.2667231895114814,positive,13
joy,precious,3.2549970330706515,positive,14
joy,determined,3.2541440177625156,positive,15
joy,impressed,-2.3388194155921145,negative,1
joy,hated,-2.3384014386764482,negative,2
joy,dangerous,-2.328856644929522,negative,3
joy,agitated,-2.272268866176064,negative,4
joy,missed,-2.2476354427479097,negative,5
joy,violent,-2.247614787212657,negative,6
joy,melancholy,-2.2431575421968954,negative,7
joy,amazed,-2.2272239056948067,negative,8
joy,strange,-2.2086158278337065,negative,9
joy,caring,-2.2039352846820797,negative,10
joy,tender,-2.1840346855253046,negative,11
joy,scared,-2.1680179454855795,negative,12
joy,shaken,-2.147928662556721,negative,13
joy,stubborn,-2.128686638134564,negative,14
joy,petty,-2.1185952791099365,negative,15
