class,feature,coefficient,direction,rank
love,sympathetic,6.454969837596966,positive,1
love,nostalgic,5.966574355898834,positive,2
love,supportive,5.739147951989626,positive,3
love,longing,5.561314367918959,positive,4
love,delicate,5.3884906867054,positive,5
love,tender,5.386256321361086,positive,6
love,loyal,5.371363879538254,positive,7
love,gentle,5.248132709518656,positive,8
love,horny,5.2134845848233615,positive,9
love,naughty,5.198534429707001,positive,10
love,caring,5.145689621280379,positive,11
love,loving,5.137391135714323,positive,12
love,romantic,5.120838594441359,positive,13
love,lovely,5.114989917697474,positive,14
love,liked,4.925433862895432,positive,15
love,punished,-1.927214050182924,negative,1
love,distressed,-1.6763947359589684,negative,2
love,rushed,-1.5272286758601141,negative,3
love,letter,-1.4869758121556882,negative,4
love,and loved,-1.377744682640899,negative,5
love,to start,-1.322614378697099,negative,6
love,pleasant,-1.3065080255763295,negative,7
love,talented,-1.2841405428116945,negative,8
love,amazing,-1.2810348325631595,negative,9
love,funny,-1.263151619320941,negative,10
love,rich,-1.2585652591690215,negative,11
love,damaged,-1.2500856999275867,negative,12
love,feelings for,-1.2498568185093901,negative,13
love,precious,-1.2403449347000142,negative,14
love,nervous,-1.2389453514073767,negative,15
