class,feature,coefficient,direction,rank
sadness,unfortunate,4.224558166337587,positive,1
sadness,melancholy,4.171985696487384,positive,2
sadness,troubled,3.8378405973032086,positive,3
sadness,deprived,3.715226381522272,positive,4
sadness,needy,3.702065237449735,positive,5
sadness,unwelcome,3.6997311714756145,positive,6
sadness,lethargic,3.67425008266705,positive,7
sadness,fake,3.646777952706619,positive,8
sadness,ignored,3.6081037092495087,positive,9
sadness,submissive,3.6045944094717326,positive,10
sadness,inadequate,3.603539374791363,positive,11
sadness,broke,3.599331746478577,positive,12
sadness,unimportant,3.57630948686043,positive,13
sadness,gloomy,3.5753021836920382,positive,14
sadness,discontent,3.541860842547462,positive,15
sadness,strange,-2.164517305682937,negative,1
sadness,grumpy,-2.1525872756088393,negative,2
sadness,distraught,-2.073404072886191,negative,3
sadness,vulnerable,-2.071516584648966,negative,4
sadness,sympathetic,-2.045320646564618,negative,5
sadness,greedy,-2.022916941229397,negative,6
sadness,petty,-2.0030887472946843,negative,7
sadness,sweet,-1.9853219170640264,negative,8
sadness,shaken,-1.9532156129389333,negative,9
sadness,terrified,-1.9427415587274153,negative,10
sadness,feel irritated,-1.9304215614525162,negative,11
sadness,surprised,-1.929945631440419,negative,12
sadness,bitchy,-1.9222708910022521,negative,13
sadness,selfish,-1.915476280038966,negative,14
sadness,disgusted,-1.8757209006402233,negative,15
