class,feature,coefficient,direction,rank
fear,pressured,5.514567536052715,positive,1
fear,reluctant,5.219857452456025,positive,2
fear,terrified,5.142244507933013,positive,3
fear,shaken,5.083827135322693,positive,4
fear,apprehensive,4.934965364286468,positive,5
fear,vulnerable,4.927442665202776,positive,6
fear,intimidated,4.907543217860671,positive,7
fear,paranoid,4.709284870409921,positive,8
fear,uncertain,4.6946731859193696,positive,9
fear,unsure,4.616496223301619,positive,10
fear,threatened,4.604509414822805,positive,11
fear,skeptical,4.430272188903566,positive,12
fear,shaky,4.422133732049677,positive,13
fear,frantic,4.4115480220996455,positive,14
fear,hesitant,4.404122951899534,positive,15
fear,feel,-2.9557050509545233,negative,1
fear,dazed,-2.217217922907884,negative,2
fear,relaxed,-1.9609567057327393,negative,3
fear,lethargic,-1.8958231918830828,negative,4
fear,lousy,-1.7979922676480424,negative,5
fear,numb,-1.745243662920306,negative,6
fear,troubled,-1.7400245891066408,negative,7
fear,passionate,-1.6628371245288969,negative,8
fear,defeated,-1.6495657935574033,negative,9
fear,regretful,-1.63764866562372,negative,10
fear,disturbed,-1.6369073105307854,negative,11
fear,burdened,-1.5935728984200084,negative,12
fear,hurt,-1.5609198469187449,negative,13
fear,stressed,-1.5437317970342048,negative,14
fear,fantastic,-1.5436825778431755,negative,15
