class,feature,coefficient,direction,rank
anger,dangerous,5.749962597293449,positive,1
anger,greedy,5.663218142587667,positive,2
anger,rude,5.343619084202561,positive,3
anger,distracted,5.234896939777224,positive,4
anger,offended,5.19304124315394,positive,5
anger,violent,5.191262755722958,positive,6
anger,wronged,5.140996515296849,positive,7
anger,dissatisfied,5.135730063350506,positive,8
anger,irritable,5.104408008959071,positive,9
anger,bothered,5.062900623583847,positive,10
anger,petty,5.024664983791897,positive,11
anger,cranky,4.945174344096612,positive,12
anger,resentful,4.939215012815575,positive,13
anger,insulted,4.926347525312531,positive,14
anger,bitter,4.905956983139838,positive,15
anger,weird,-2.760653202602842,negative,1
anger,overwhelmed,-2.5533336146017045,negative,2
anger,strange,-2.5475636711478655,negative,3
anger,surprised,-2.0210043974528613,negative,4
anger,amazed,-1.9775874618393179,negative,5
anger,curious,-1.9411368485562228,negative,6
anger,impressed,-1.920139813089415,negative,7
anger,shocked,-1.909154097967996,negative,8
anger,amazing,-1.8458910499332835,negative,9
anger,funny,-1.7873435422383952,negative,10
anger,supporting,-1.630853177003836,negative,11
anger,caring,-1.6067056385705492,negative,12
anger,generous,-1.5986155626983007,negative,13
anger,accepted,-1.5873921733160372,negative,14
anger,helpless,-1.5459780596624642,negative,15
