class,feature,coefficient,direction,rank
fear,shaken,6.51476242902051,positive,1
fear,terrified,6.1808409454462225,positive,2
fear,vulnerable,6.118224194010727,positive,3
fear,paranoid,5.561465441007192,positive,4
fear,scared,5.443336618747823,positive,5
fear,reluctant,5.346764425215791,positive,6
fear,shaky,5.283964292046939,positive,7
fear,pressured,5.270784169385125,positive,8
fear,uncertain,5.229783088740169,positive,9
fear,apprehensive,5.216849291480568,positive,10
fear,nervous,5.209176250321389,positive,11
fear,shy,5.161040242398241,positive,12
fear,frantic,5.117899578057783,positive,13
fear,intimidated,5.041530261524942,positive,14
fear,unsure,5.028552406038408,positive,15
fear,dazed,-1.8769353306307113,negative,1
fear,curious,-1.8747899284387355,negative,2
fear,funny,-1.822033423698841,negative,3
fear,amazed,-1.808881458463963,negative,4
fear,shocked,-1.7706631898106377,negative,5
fear,impressed,-1.7662924863073566,negative,6
fear,sweet,-1.7618254197430578,negative,7
fear,surprised,-1.7071120684910195,negative,8
fear,amazing,-1.6512018286574621,negative,9
fear,for,-1.5477726967135468,negative,10
fear,supporting,-1.5240153180133962,negative,11
fear,feel that,-1.5014434234702991,negative,12
fear,feel,-1.4974887789878968,negative,13
fear,nostalgic,-1.4685822466080103,negative,14
fear,passionate,-1.4219491902633705,negative,15
