class,feature,coefficient,direction,rank
surprise,impressed,10.513323575048975,positive,1
surprise,amazed,10.106624945616025,positive,2
surprise,curious,9.858445171694632,positive,3
surprise,surprised,9.707976018496959,positive,4
surprise,shocked,9.558369578730746,positive,5
surprise,funny,9.370968356714725,positive,6
surprise,weird,7.792126104388473,positive,7
surprise,strange,7.734618595087439,positive,8
surprise,overwhelmed,7.701436245907899,positive,9
surprise,amazing,7.537211360180865,positive,10
surprise,dazed,7.493443340297226,positive,11
surprise,stunned,6.751858823533272,positive,12
surprise,dazed and,3.0915437148195215,positive,13
surprise,impressed with,2.7829155350780925,positive,14
surprise,feel amazed,2.643275964663341,positive,15
surprise,to feel,-1.1194113362198945,negative,1
surprise,before,-1.0736836268788092,negative,2
surprise,supporting,-1.0729269851009848,negative,3
surprise,blessed,-1.0697492810321803,negative,4
surprise,liked,-1.068377033302593,negative,5
surprise,sweet,-1.0384926005567077,negative,6
surprise,feel that,-1.0323268020052274,negative,7
surprise,and that,-1.024753738774448,negative,8
surprise,lately,-0.9609998514636647,negative,9
surprise,feel so,-0.9520005777683254,negative,10
surprise,feel,-0.9331425406726451,negative,11
surprise,had,-0.9261616656150127,negative,12
surprise,more,-0.9159526804752964,negative,13
surprise,agitated,-0.9110514455140394,negative,14
surprise,lovely,-0.8922094654599809,negative,15
