class,feature,coefficient,direction,rank
anger,dangerous,5.835831666379466,positive,1
anger,greedy,5.670677666245419,positive,2
anger,rude,5.379021692263155,positive,3
anger,distracted,5.270596172513971,positive,4
anger,violent,5.215740420888633,positive,5
anger,offended,5.212535872815088,positive,6
anger,dissatisfied,5.161451165390247,positive,7
anger,wronged,5.160018754286963,positive,8
anger,irritable,5.148064164965212,positive,9
anger,bothered,5.132017721178541,positive,10
anger,petty,5.082567841934831,positive,11
anger,rushed,5.050754735818525,positive,12
anger,resentful,4.99598843594326,positive,13
anger,bitchy,4.9814662498081645,positive,14
anger,fucked,4.955609458843187,positive,15
anger,weird,-2.7810122790441074,negative,1
anger,overwhelmed,-2.561141863773796,negative,2
anger,strange,-2.552106136177217,negative,3
anger,surprised,-2.118483026936671,negative,4
anger,amazed,-2.0325893862579005,negative,5
anger,curious,-1.9384704081202062,negative,6
anger,impressed,-1.9261693761998142,negative,7
anger,shocked,-1.8882492482098703,negative,8
anger,amazing,-1.8052236599807518,negative,9
anger,funny,-1.7974795915218251,negative,10
anger,supporting,-1.671300202043693,negative,11
anger,generous,-1.6037867923645703,negative,12
anger,caring,-1.5923221846560485,negative,13
anger,accepted,-1.5866848791694657,negative,14
anger,helpless,-1.5466464794386043,negative,15
