class,feature,coefficient,direction,rank
joy,successful,3.271846001655435,positive,1
joy,pleasant,3.232450365248076,positive,2
joy,innocent,3.151477305263234,positive,3
joy,popular,3.0862608996489946,positive,4
joy,superior,3.077500774553765,positive,5
joy,satisfied,3.0606149084153436,positive,6
joy,glad,3.0495306977260723,positive,7
joy,sincere,3.039890546318585,positive,8
joy,divine,3.0250497642427767,positive,9
joy,rich,3.0068012349967157,positive,10
joy,cute,3.0064342191579505,positive,11
joy,resolved,2.9908009252137373,positive,12
joy,useful,2.9778034261070783,positive,13
joy,virtuous,2.9156138341496027,positive,14
joy,ok,2.880245800389881,positive,15
joy,strange,-3.275651942300717,negative,1
joy,weird,-2.963668591822003,negative,2
joy,overwhelmed,-2.913205091991362,negative,3
joy,impressed,-2.7183482440401856,negative,4
joy,amazed,-2.7013268294695876,negative,5
joy,surprised,-2.3770871639016464,negative,6
joy,agitated,-2.344114731882526,negative,7
joy,curious,-2.2681960755481168,negative,8
joy,funny,-2.226112172523089,negative,9
joy,tortured,-2.163812261264906,negative,10
joy,shocked,-2.13930431621762,negative,11
joy,caring,-2.003394060938339,negative,12
joy,hot,-1.9851025327085061,negative,13
joy,hated,-1.9644064893527329,negative,14
joy,dangerous,-1.8942330237438945,negative,15
