class,feature,coefficient,direction,rank
love,nostalgic,7.109587069972211,positive,1
love,sympathetic,7.041309497349773,positive,2
love,loving,6.8140103923146365,positive,3
love,horny,6.714837269495843,positive,4
love,hot,6.714037662376833,positive,5
love,caring,6.702944632964809,positive,6
love,naughty,6.655283757716947,positive,7
love,tender,6.548506286461796,positive,8
love,lovely,6.447019367415314,positive,9
love,liked,6.433572369717439,positive,10
love,supportive,6.378894552687875,positive,11
love,delicate,6.360164364982931,positive,12
love,romantic,6.358100317707085,positive,13
love,longing,6.2939011409414505,positive,14
love,sweet,6.212891208853847,positive,15
love,strange,-2.368343294328659,negative,1
love,overwhelmed,-2.061608153736914,negative,2
love,weird,-2.054078596262226,negative,3
love,amazing,-1.7926453751031666,negative,4
love,impressed,-1.7571140835601058,negative,5
love,funny,-1.6763647006380191,negative,6
love,curious,-1.6284091687884985,negative,7
love,surprised,-1.5718010301338814,negative,8
love,tortured,-1.4888368777195655,negative,9
love,shocked,-1.4852518648890851,negative,10
love,amazed,-1.4033462504585725,negative,11
love,agitated,-1.3886907268904607,negative,12
love,hated,-1.2846161036852306,negative,13
love,stressed,-1.2813022864267978,negative,14
love,rushed,-1.1547957362602426,negative,15
