class,feature,coefficient,direction,rank
sadness,unfortunate,4.271322331374211,positive,1
sadness,melancholy,4.1210758554069775,positive,2
sadness,troubled,3.8303005310049087,positive,3
sadness,unwelcome,3.692080262724118,positive,4
sadness,needy,3.6811927140582235,positive,5
sadness,fake,3.6428021988453447,positive,6
sadness,lethargic,3.636424595120092,positive,7
sadness,ignored,3.616475315304331,positive,8
sadness,disturbed,3.5921403796102798,positive,9
sadness,submissive,3.586083821088408,positive,10
sadness,deprived,3.5727152276127576,positive,11
sadness,gloomy,3.547866125888464,positive,12
sadness,broke,3.535158814004059,positive,13
sadness,punished,3.5225247780434206,positive,14
sadness,aching,3.5156756583877056,positive,15
sadness,grumpy,-2.152769177357375,negative,1
sadness,vulnerable,-2.0438092990302716,negative,2
sadness,strange,-2.038623634401083,negative,3
sadness,distraught,-2.0340380733011165,negative,4
sadness,sympathetic,-2.020646212951237,negative,5
sadness,shaken,-2.007549733812038,negative,6
sadness,selfish,-1.972352610217069,negative,7
sadness,petty,-1.9574353486761737,negative,8
sadness,terrified,-1.916343458207563,negative,9
sadness,disgusted,-1.9022976727758625,negative,10
sadness,greedy,-1.8990002330427305,negative,11
sadness,feel irritated,-1.8960124895511445,negative,12
sadness,sweet,-1.8929304057513943,negative,13
sadness,wronged,-1.870167895704231,negative,14
sadness,innocent,-1.8624608116979913,negative,15
