class,feature,coefficient,direction,rank
surprise,impressed,6.919167441883244,positive,1
surprise,amazed,6.653190718100269,positive,2
surprise,surprised,6.432311714613761,positive,3
surprise,curious,6.255279871607848,positive,4
surprise,shocked,6.140866909486699,positive,5
surprise,funny,5.847094404547066,positive,6
surprise,dazed,5.452734506504286,positive,7
surprise,stunned,5.159179838981673,positive,8
surprise,weird,3.955894335535603,positive,9
surprise,strange,3.895713162671916,positive,10
surprise,overwhelmed,3.86474441021728,positive,11
surprise,amazing,3.491705928265211,positive,12
surprise,lyrics,1.8555864798324897,positive,13
surprise,overwhelmed and,1.7852821606641658,positive,14
surprise,curious about,1.6907032532756399,positive,15
surprise,dumb,-1.6120463436812489,negative,1
surprise,and that,-1.2076520963596824,negative,2
surprise,feeling weird,-1.1626943240910703,negative,3
surprise,feel,-1.0779167800657536,negative,4
surprise,overwhelmed by,-1.0607464688600556,negative,5
surprise,ways,-1.0504640897841566,negative,6
surprise,talented,-1.0476798806770313,negative,7
surprise,should feel,-1.0345442606541986,negative,8
surprise,awkward,-0.9986375680942912,negative,9
surprise,blessed,-0.9894684344953806,negative,10
surprise,love it,-0.9864079797316643,negative,11
surprise,good and,-0.968296761677006,negative,12
surprise,that have,-0.9680451706435039,negative,13
surprise,become,-0.9578034915675335,negative,14
surprise,bouncy,-0.9567186523709211,negative,15
