class,feature,coefficient,direction,rank
anger,resentful,4.9226161600954175,positive,1
anger,dangerous,4.810109245425173,positive,2
anger,offended,4.764329028875792,positive,3
anger,greedy,4.674088540858432,positive,4
anger,irritable,4.547103036869862,positive,5
anger,rude,4.536464681418032,positive,6
anger,rebellious,4.498269971166661,positive,7
anger,dissatisfied,4.485172523170607,positive,8
anger,distracted,4.481894837669489,positive,9
anger,fucked,4.403835714124405,positive,10
anger,envious,4.382527303846798,positive,11
anger,stubborn,4.359917370565038,positive,12
anger,rushed,4.315906565649315,positive,13
anger,bitchy,4.308866106920008,positive,14
anger,bitter,4.263088033242592,positive,15
anger,feel,-2.759248353808093,negative,1
anger,disturbed,-1.8832484831601277,negative,2
anger,honored,-1.8515066660457233,negative,3
anger,shamed,-1.7575059662006427,negative,4
anger,unimportant,-1.7297484881367338,negative,5
anger,invigorated,-1.6986023110363226,negative,6
anger,considerate,-1.6803147531654725,negative,7
anger,curious,-1.6283298391745789,negative,8
anger,helpless,-1.626937931931877,negative,9
anger,shaky,-1.580342483496353,negative,10
anger,discontent,-1.5305076259153108,negative,11
anger,popular,-1.5104299696563306,negative,12
anger,lethargic,-1.49597291952331,negative,13
anger,ungrateful,-1.49308222149587,negative,14
anger,sexual,-1.4930288462684889,negative,15
