class,feature,coefficient,direction,rank
joy,superior,3.751098684839162,positive,1
joy,sincere,3.357386932971492,positive,2
joy,satisfied,3.256406666460759,positive,3
joy,resolved,3.23875192824415,positive,4
joy,pleasant,3.237598985623267,positive,5
joy,innocent,3.2345932509113515,positive,6
joy,divine,3.177519834601211,positive,7
joy,convinced,3.171255801995954,positive,8
joy,respected,3.1219979001647626,positive,9
joy,virtuous,3.103153478577838,positive,10
joy,successful,3.076148903190961,positive,11
joy,clever,3.0619967993656285,positive,12
joy,worthwhile,3.0563351769859644,positive,13
joy,assured,2.980684328053963,positive,14
joy,smug,2.978881456250777,positive,15
joy,pressured,-2.6045903961183403,negative,1
joy,agitated,-2.526221512362592,negative,2
joy,missed,-2.461614401380165,negative,3
joy,ashamed,-2.391769630611705,negative,4
joy,intimidated,-2.376412821582777,negative,5
joy,impressed,-2.345627719547918,negative,6
joy,melancholy,-2.3453194120549905,negative,7
joy,caring,-2.3370089149612023,negative,8
joy,loyal,-2.3250303750562105,negative,9
joy,reluctant,-2.2871104727789366,negative,10
joy,dangerous,-2.2835557548665992,negative,11
joy,groggy,-2.2774848833142105,negative,12
joy,fond,-2.2669202036050016,negative,13
joy,amazed,-2.261089366507761,negative,14
joy,uncertain,-2.2289556962277284,negative,15
