class,feature,coefficient,direction,rank
love,sympathetic,5.976960690554027,positive,1
love,fond,5.386555833380274,positive,2
love,loyal,5.28673788544074,positive,3
love,caring,5.2351409913241955,positive,4
love,longing,5.181461603198625,positive,5
love,tender,5.07800051915173,positive,6
love,horny,5.0315934398406705,positive,7
love,nostalgic,4.998734633954602,positive,8
love,supportive,4.996613360402103,positive,9
love,romantic,4.922125793531581,positive,10
love,naughty,4.917841697885983,positive,11
love,delicate,4.767309212540986,positive,12
love,gentle,4.683548915131706,positive,13
love,loving,4.60522614423012,positive,14
love,liked,4.569029263295616,positive,15
love,punished,-2.1138844403762698,negative,1
love,ache,-1.691462912520771,negative,2
love,damaged,-1.6259815078433175,negative,3
love,divine,-1.5640491517260697,negative,4
love,ashamed,-1.5342885602757457,negative,5
love,rushed,-1.496879664081033,negative,6
love,broke,-1.4388101129156383,negative,7
love,nervous,-1.427051106272718,negative,8
love,innocent,-1.3899425040995175,negative,9
love,tortured,-1.3672472890243588,negative,10
love,helping,-1.36628666031366,negative,11
love,precious,-1.3531954456372066,negative,12
love,inhibited,-1.3490401731362416,negative,13
love,treats,-1.3463743219796007,negative,14
love,feel,-1.3227062541168693,negative,15
