class,feature,coefficient,direction,rank
joy,pleasant,3.1513661330203395,positive,1
joy,successful,3.150359040972647,positive,2
joy,innocent,3.1264813460368375,positive,3
joy,superior,3.075046915616751,positive,4
joy,sincere,3.0590601070568604,positive,5
joy,satisfied,3.0476235998246017,positive,6
joy,popular,3.041652640343197,positive,7
joy,resolved,3.010157463398099,positive,8
joy,glad,3.009089393305619,positive,9
joy,divine,2.9999252045376577,positive,10
joy,cute,2.9850887588940904,positive,11
joy,rich,2.9503132158644934,positive,12
joy,virtuous,2.890595779493381,positive,13
joy,useful,2.8781993017608367,positive,14
joy,precious,2.8539476985896948,positive,15
joy,strange,-3.2793366578871543,negative,1
joy,weird,-2.9588498918031645,negative,2
joy,overwhelmed,-2.9036467513079627,negative,3
joy,impressed,-2.7353189647035947,negative,4
joy,amazed,-2.644535038336007,negative,5
joy,agitated,-2.3630656802375007,negative,6
joy,surprised,-2.3553327505232704,negative,7
joy,curious,-2.2665868134600617,negative,8
joy,funny,-2.229439147099697,negative,9
joy,tortured,-2.1600971650948417,negative,10
joy,shocked,-2.150575128524314,negative,11
joy,caring,-2.0093314141617724,negative,12
joy,hated,-1.9729624219462387,negative,13
joy,hot,-1.9718162656198792,negative,14
joy,loving,-1.902796257578372,negative,15
