class,feature,coefficient,direction,rank
sadness,melancholy,3.915746726545913,positive,1
sadness,lethargic,3.530957155058818,positive,2
sadness,miserable,3.514338217790968,positive,3
sadness,unfortunate,3.4188631577827353,positive,4
sadness,awkward,3.396164379961387,positive,5
sadness,gloomy,3.3561204546581695,positive,6
sadness,punished,3.3547352036768032,positive,7
sadness,disheartened,3.3412124974382067,positive,8
sadness,aching,3.3280094296201264,positive,9
sadness,shitty,3.313008985815928,positive,10
sadness,troubled,3.3018980466551655,positive,11
sadness,exhausted,3.289735348927285,positive,12
sadness,regretful,3.289379743689768,positive,13
sadness,disturbed,3.2857071483801508,positive,14
sadness,unwelcome,3.2756842085687126,positive,15
sadness,strange,-3.1536375634072513,negative,1
sadness,weird,-2.921249481243587,negative,2
sadness,overwhelmed,-2.722352193513931,negative,3
sadness,sweet,-2.4028849485019244,negative,4
sadness,amazing,-2.4021355163040687,negative,5
sadness,impressed,-2.352954631757761,negative,6
sadness,amazed,-2.3057800230079875,negative,7
sadness,shocked,-2.2534107600630344,negative,8
sadness,agitated,-2.239560834437156,negative,9
sadness,curious,-2.1799831141505446,negative,10
sadness,surprised,-2.1010772875072075,negative,11
sadness,tortured,-2.0942327547323027,negative,12
sadness,supporting,-2.065808323403526,negative,13
sadness,accepted,-2.010076731009552,negative,14
sadness,loving,-1.9387469307118004,negative,15
