class,feature,coefficient,direction,rank
sadness,melancholy,3.977496536438442,positive,1
sadness,miserable,3.5539876947427644,positive,2
sadness,lethargic,3.533618869876226,positive,3
sadness,awkward,3.419269058149963,positive,4
sadness,unfortunate,3.4091842439234274,positive,5
sadness,gloomy,3.3760911025778713,positive,6
sadness,exhausted,3.363553779416602,positive,7
sadness,disheartened,3.3568518403466934,positive,8
sadness,punished,3.334637089074756,positive,9
sadness,shitty,3.323241265052223,positive,10
sadness,regretful,3.3045064836957643,positive,11
sadness,troubled,3.2975527021780358,positive,12
sadness,aching,3.296538292066447,positive,13
sadness,dull,3.2881051239332724,positive,14
sadness,disturbed,3.286290296658437,positive,15
sadness,strange,-3.2014161735798865,negative,1
sadness,weird,-2.932746993673392,negative,2
sadness,overwhelmed,-2.7659475846308506,negative,3
sadness,sweet,-2.4145426673623334,negative,4
sadness,amazing,-2.4006528125105673,negative,5
sadness,amazed,-2.3596465251342043,negative,6
sadness,impressed,-2.3528625168630843,negative,7
sadness,agitated,-2.2579193860908306,negative,8
sadness,shocked,-2.236063735189421,negative,9
sadness,surprised,-2.1812015138171907,negative,10
sadness,curious,-2.1772293184818747,negative,11
sadness,tortured,-2.102763510737796,negative,12
sadness,supporting,-2.0617737544897694,negative,13
sadness,accepted,-2.0215121056724685,negative,14
sadness,dazed,-1.9545107407978402,negative,15
