class,feature,coefficient,direction,rank
anger,offended,5.811695402303322,positive,1
anger,resentful,5.788849275313626,positive,2
anger,greedy,5.736491302221609,positive,3
anger,dangerous,5.695205633980052,positive,4
anger,irritable,5.606256663144723,positive,5
anger,fucked,5.534853150790021,positive,6
anger,rude,5.470229839123848,positive,7
anger,dissatisfied,5.388666090338138,positive,8
anger,bothered,5.33235355625517,positive,9
anger,rushed,5.306441281943047,positive,10
anger,selfish,5.242685128433804,positive,11
anger,distracted,5.23756272116981,positive,12
anger,irritated,5.192970381123993,positive,13
anger,cold,5.15682095449809,positive,14
anger,cranky,5.1547916370899545,positive,15
anger,weird,-2.777379663996692,negative,1
anger,overwhelmed,-2.759432801466063,negative,2
anger,strange,-2.6200905872976064,negative,3
anger,surprised,-2.042139197848722,negative,4
anger,curious,-1.9989931650017656,negative,5
anger,amazed,-1.948042261205399,negative,6
anger,amazing,-1.9089930626429967,negative,7
anger,impressed,-1.9057818121446224,negative,8
anger,passionate,-1.8475288004008932,negative,9
anger,funny,-1.8268849665529316,negative,10
anger,shocked,-1.8236996644253924,negative,11
anger,generous,-1.7149819474239798,negative,12
anger,caring,-1.6721560938670488,negative,13
anger,helpless,-1.6717585393915397,negative,14
anger,beloved,-1.661599561297686,negative,15
