class,feature,coefficient,direction,rank
fear,pressured,6.503078948688946,positive,1
fear,terrified,6.446001316149306,positive,2
fear,shaken,6.3515372781913735,positive,3
fear,reluctant,6.299676566417681,positive,4
fear,vulnerable,6.242762350801326,positive,5
fear,uncertain,5.885558209958602,positive,6
fear,paranoid,5.8082857073393015,positive,7
fear,apprehensive,5.709154936304498,positive,8
fear,intimidated,5.65243146371153,positive,9
fear,nervous,5.588895330876172,positive,10
fear,unsure,5.584645590361772,positive,11
fear,threatened,5.570762108283971,positive,12
fear,scared,5.537158231446129,positive,13
fear,afraid,5.433863078933855,positive,14
fear,shaky,5.426383415196652,positive,15
fear,dazed,-2.0112559402557504,negative,1
fear,curious,-1.9882466649506636,negative,2
fear,amazed,-1.9456008014761637,negative,3
fear,passionate,-1.8756017809944923,negative,4
fear,sweet,-1.8404631836883019,negative,5
fear,impressed,-1.7497109142054124,negative,6
fear,funny,-1.7276487251121972,negative,7
fear,surprised,-1.713606219576806,negative,8
fear,amazing,-1.7131484623312496,negative,9
fear,shocked,-1.68546251693123,negative,10
fear,supporting,-1.5590050553193067,negative,11
fear,generous,-1.5421038639607432,negative,12
fear,stressed,-1.5393488941074505,negative,13
fear,for,-1.521859085246436,negative,14
fear,beloved,-1.4611245051008712,negative,15
