class,feature,coefficient,direction,rank
joy,satisfied,3.4144915689414437,positive,1
joy,superior,3.343288950680352,positive,2
joy,successful,3.283113729076977,positive,3
joy,divine,3.2583223418984315,positive,4
joy,glad,3.2211486180190767,positive,5
joy,innocent,3.211204963537467,positive,6
joy,pleasant,3.181281361907845,positive,7
joy,convinced,3.171647675783242,positive,8
joy,sincere,3.1563571054984054,positive,9
joy,resolved,3.1549098853409667,positive,10
joy,respected,3.094403765594934,positive,11
joy,popular,3.0757139824940136,positive,12
joy,brave,3.0582601522320014,positive,13
joy,valued,3.0434901704077384,positive,14
joy,assured,3.0336056833851863,positive,15
joy,strange,-3.3687561700444695,negative,1
joy,overwhelmed,-3.3597959503230475,negative,2
joy,weird,-3.144413232601646,negative,3
joy,amazed,-2.8630667372944143,negative,4
joy,impressed,-2.790548042216479,negative,5
joy,agitated,-2.577627862198366,negative,6
joy,curious,-2.3720671728852105,negative,7
joy,surprised,-2.3649238034478732,negative,8
joy,funny,-2.3263410455681837,negative,9
joy,tortured,-2.265012340505569,negative,10
joy,caring,-2.154595946638632,negative,11
joy,shocked,-2.1133318375803296,negative,12
joy,hated,-2.1022727846207205,negative,13
joy,helpless,-2.0119590895624095,negative,14
joy,frustrated,-1.9936928050447353,negative,15
