class,feature,coefficient,direction,rank
love,sympathetic,7.189559688606515,positive,1
love,caring,7.045372045182584,positive,2
love,nostalgic,6.826220579658298,positive,3
love,loving,6.666152148941178,positive,4
love,longing,6.637396278881068,positive,5
love,naughty,6.55993276716041,positive,6
love,hot,6.547414310799162,positive,7
love,horny,6.545969795079387,positive,8
love,liked,6.501356104226651,positive,9
love,tender,6.47403220754802,positive,10
love,supportive,6.36294774899237,positive,11
love,lovely,6.301544834985805,positive,12
love,romantic,6.269056938120721,positive,13
love,sweet,6.241638355014308,positive,14
love,fond,6.207989965761062,positive,15
love,strange,-2.402865323111362,negative,1
love,overwhelmed,-2.2413516709529158,negative,2
love,weird,-2.1917392210777082,negative,3
love,impressed,-1.7029428817937993,negative,4
love,funny,-1.6880384615698698,negative,5
love,tortured,-1.6681618164038148,negative,6
love,curious,-1.6447381699425785,negative,7
love,surprised,-1.5107599754442287,negative,8
love,amazing,-1.482148041526829,negative,9
love,agitated,-1.4477982808750611,negative,10
love,amazed,-1.4325201266300593,negative,11
love,shocked,-1.4080072809551871,negative,12
love,stressed,-1.3773146741173479,negative,13
love,hated,-1.2424480423172801,negative,14
love,nervous,-1.1980371154125802,negative,15
