class,feature,coefficient,direction,rank
sadness,lethargic,4.095636232656815,positive,1
sadness,melancholy,4.00757711539667,positive,2
sadness,punished,3.793324567562193,positive,3
sadness,burdened,3.755298275807837,positive,4
sadness,awkward,3.7241139721583503,positive,5
sadness,unwelcome,3.663794560473404,positive,6
sadness,miserable,3.5925719964985925,positive,7
sadness,disturbed,3.5666219296150605,positive,8
sadness,missed,3.5541246749156183,positive,9
sadness,unfortunate,3.506863514076763,positive,10
sadness,regretful,3.506653851732245,positive,11
sadness,troubled,3.498354475997257,positive,12
sadness,lousy,3.4895671546783515,positive,13
sadness,shitty,3.452418607687728,positive,14
sadness,gloomy,3.4520016503228805,positive,15
sadness,strange,-3.129040242965776,negative,1
sadness,weird,-2.9516671738028317,negative,2
sadness,overwhelmed,-2.7717981810813437,negative,3
sadness,amazing,-2.490552942824081,negative,4
sadness,impressed,-2.4709554993931753,negative,5
sadness,sweet,-2.414221576017465,negative,6
sadness,amazed,-2.3875344708110284,negative,7
sadness,agitated,-2.2568393876322856,negative,8
sadness,tortured,-2.2264603818255564,negative,9
sadness,surprised,-2.176240861589512,negative,10
sadness,supporting,-2.162508909260404,negative,11
sadness,curious,-2.137025378607511,negative,12
sadness,dazed,-2.1355255956413797,negative,13
sadness,shocked,-2.128566264279313,negative,14
sadness,accepted,-2.125832209188628,negative,15
