class,feature,coefficient,direction,rank
anger,distracted,5.14306153919406,positive,1
anger,greedy,5.093064328047779,positive,2
anger,rude,5.023915711250817,positive,3
anger,dangerous,4.987519625106768,positive,4
anger,offended,4.937402401013729,positive,5
anger,dissatisfied,4.732466751649466,positive,6
anger,bitter,4.730287807828876,positive,7
anger,stubborn,4.676939918533567,positive,8
anger,violent,4.64273863389488,positive,9
anger,wronged,4.625629940520761,positive,10
anger,rebellious,4.579856265708035,positive,11
anger,petty,4.554862786648938,positive,12
anger,cranky,4.503949089966175,positive,13
anger,resentful,4.498467020795184,positive,14
anger,bothered,4.422953321028554,positive,15
anger,paranoid,-1.8033941293135438,negative,1
anger,melancholy,-1.675707879807412,negative,2
anger,sexual,-1.649050419301922,negative,3
anger,and frustrated,-1.6015784602511676,negative,4
anger,disturbed,-1.5991194024674877,negative,5
anger,shy,-1.5282125703875258,negative,6
anger,overwhelmed,-1.509650855862502,negative,7
anger,shaken,-1.4879966089922212,negative,8
anger,feel helpless,-1.4804978790853873,negative,9
anger,emotional,-1.4686686998805174,negative,10
anger,beloved,-1.4563366865952572,negative,11
anger,dull,-1.4557293437150458,negative,12
anger,troubled,-1.452841297825305,negative,13
anger,lethargic,-1.4279988716789367,negative,14
anger,heartbroken,-1.4223341543304904,negative,15
