class,feature,coefficient,direction,rank
fear,shaken,5.6226377370802005,positive,1
fear,vulnerable,5.42243394320195,positive,2
fear,terrified,5.27800182638312,positive,3
fear,pressured,5.036172516670202,positive,4
fear,frantic,4.90265814516471,positive,5
fear,paranoid,4.836442946481585,positive,6
fear,reluctant,4.820947203780865,positive,7
fear,intimidated,4.81333987595543,positive,8
fear,apprehensive,4.810788287235784,positive,9
fear,frightened,4.723154586423347,positive,10
fear,shaky,4.664510957371819,positive,11
fear,distressed,4.609491785003681,positive,12
fear,skeptical,4.565331797822113,positive,13
fear,shy,4.5615354419176875,positive,14
fear,uncertain,4.4743147501542335,positive,15
fear,feel,-2.2798061434763848,negative,1
fear,dazed,-1.7750757717508943,negative,2
fear,dumb,-1.681530259671923,negative,3
fear,lousy,-1.5913514257300598,negative,4
fear,supporting,-1.509524667425758,negative,5
fear,sweet,-1.4613459341644905,negative,6
fear,troubled,-1.44095469545696,negative,7
fear,disturbed,-1.4148489951750656,negative,8
fear,lethargic,-1.364689659206054,negative,9
fear,passionate,-1.3644417972067016,negative,10
fear,needy,-1.3529779045439845,negative,11
fear,glad,-1.3411649152733176,negative,12
fear,tender,-1.3399513488506505,negative,13
fear,lonely,-1.3363959288849085,negative,14
fear,relaxed,-1.3355904871996092,negative,15
