class,feature,coefficient,direction,rank
fear,shaken,5.695297359016333,positive,1
fear,vulnerable,5.484960942031147,positive,2
fear,terrified,5.300113556121269,positive,3
fear,pressured,5.293049502374761,positive,4
fear,paranoid,4.920117776325902,positive,5
fear,frantic,4.898491255906798,positive,6
fear,apprehensive,4.873804043877367,positive,7
fear,reluctant,4.796484975934834,positive,8
fear,intimidated,4.768006072293375,positive,9
fear,frightened,4.677575995274354,positive,10
fear,shaky,4.675074205487894,positive,11
fear,unsure,4.625000855088856,positive,12
fear,distressed,4.584553460197568,positive,13
fear,suspicious,4.580683158324298,positive,14
fear,skeptical,4.568734950413088,positive,15
fear,feel,-2.2204848510441195,negative,1
fear,dazed,-1.8709993962428944,negative,2
fear,dumb,-1.7965762396518377,negative,3
fear,supporting,-1.563890594524378,negative,4
fear,relaxed,-1.533433594348315,negative,5
fear,lousy,-1.5262713563222428,negative,6
fear,eager,-1.512605144382003,negative,7
fear,troubled,-1.4913490382454742,negative,8
fear,glad,-1.466318088080161,negative,9
fear,lethargic,-1.4483256710756356,negative,10
fear,sweet,-1.4426780854923427,negative,11
fear,disturbed,-1.437786362790967,negative,12
fear,feel at,-1.4171942777664452,negative,13
fear,brave,-1.4064542124988315,negative,14
fear,passionate,-1.4029024570703936,negative,15
