split,label_name,valence,n_messages,pct_of_split
test,joy,positive,695,34.75
test,sadness,negative,581,29.05
test,anger,negative,275,13.75
test,fear,negative,224,11.2
test,love,positive,159,7.95
test,surprise,ambiguous,66,3.3
train,joy,positive,5356,33.51
train,sadness,negative,4665,29.19
train,anger,negative,2159,13.51
train,fear,negative,1934,12.1
train,love,positive,1298,8.12
train,surprise,ambiguous,571,3.57
validation,joy,positive,704,35.2
validation,sadness,negative,550,27.5
validation,anger,negative,275,13.75
validation,fear,negative,212,10.6
validation,love,positive,178,8.9
validation,surprise,ambiguous,81,4.05
